n,series,rmse,ci_lo,ci_hi
2,true_value,0.8574999999999999,,
3,true_value,0.8337499999999999,,
4,true_value,0.821875,,
5,true_value,0.8159375000000001,,
6,true_value,0.81296875,,
7,true_value,0.8114843750000001,,
8,true_value,0.8107421874999998,,
9,true_value,0.81037109375,,
10,true_value,0.8101855468750001,,
2,single_measured,0.04348925943177573,0.04216680449882803,0.04481531256842699
3,single_measured,0.06088374703157374,0.058935014035075166,0.06256600767183293
4,single_measured,0.0720144009347245,0.06959663087637064,0.07445585016315427
5,single_measured,0.12984881615972044,0.12522718639327554,0.13409919744647983
6,single_measured,0.27034216805914485,0.2603216215631185,0.2806741692687355
7,single_measured,0.6520881097767899,0.6330036072017198,0.6696244581270799
8,single_measured,1.6248500997281023,1.572788133425378,1.6709781952455844
9,single_measured,4.463867528664378,4.312301877628451,4.594765081302004
10,single_measured,11.976360543390635,11.636768706040776,12.32232645730372
2,single_theory,0.04535525944314041,,
3,single_theory,0.05907949328537931,,
4,single_theory,0.07669877711470142,,
5,single_theory,0.12127515515246093,,
6,single_theory,0.26057171630764014,,
7,single_theory,0.6546532939841455,,
8,single_theory,1.711385789968172,,
9,single_theory,4.511270203042667,,
2,collective_measured,0.06623197868099666,0.06448602432477407,0.06785302375938952
3,collective_measured,0.1026753479825285,0.10129764640224326,0.10407637779561177
4,collective_measured,0.13749589009009208,0.13623925462172798,0.13868673858133881
5,collective_measured,0.1783234092351591,0.17687531669556666,0.1796350568669593
6,collective_measured,0.2069166503578494,0.20545410052972327,0.2082706230453153
7,collective_measured,0.23897489104806047,0.23773856180725378,0.24013996044702496
8,collective_measured,0.26726979153522973,0.2661516281516832,0.2683585063199803
9,collective_measured,0.29525431748651104,0.29407498910049046,0.29644331224796855
10,collective_measured,0.32030843694664884,0.3190363885236335,0.32156161433405184
